zipcode,name,other_population
10001,ZCTA5 10001,0
10002,ZCTA5 10002,0
10003,ZCTA5 10003,341
10004,ZCTA5 10004,25
10005,ZCTA5 10005,333
10006,ZCTA5 10006,89
10007,ZCTA5 10007,0
10009,ZCTA5 10009,0
10010,ZCTA5 10010,891
10011,ZCTA5 10011,538
10012,ZCTA5 10012,0
10013,ZCTA5 10013,479
10014,ZCTA5 10014,0
10016,ZCTA5 10016,1109
10017,ZCTA5 10017,1019
10018,ZCTA5 10018,327
10019,ZCTA5 10019,0
10021,ZCTA5 10021,106
10022,ZCTA5 10022,499
10023,ZCTA5 10023,1130
10024,ZCTA5 10024,1435
10025,ZCTA5 10025,0
10026,ZCTA5 10026,543
10027,ZCTA5 10027,0
10028,ZCTA5 10028,376
10029,ZCTA5 10029,0
10030,ZCTA5 10030,0
10031,ZCTA5 10031,0
10032,ZCTA5 10032,0
10033,ZCTA5 10033,0
10034,ZCTA5 10034,0
10035,ZCTA5 10035,0
10036,ZCTA5 10036,727
10037,ZCTA5 10037,0
10038,ZCTA5 10038,699
10039,ZCTA5 10039,154
10040,ZCTA5 10040,0
10044,ZCTA5 10044,395
10065,ZCTA5 10065,0
10069,ZCTA5 10069,927
10075,ZCTA5 10075,384
10128,ZCTA5 10128,676
10280,ZCTA5 10280,0
10282,ZCTA5 10282,581
10301,ZCTA5 10301,0
10302,ZCTA5 10302,0
10303,ZCTA5 10303,0
10304,ZCTA5 10304,0
10305,ZCTA5 10305,0
10306,ZCTA5 10306,0
10307,ZCTA5 10307,0
10308,ZCTA5 10308,0
10309,ZCTA5 10309,0
10310,ZCTA5 10310,0
10312,ZCTA5 10312,0
10314,ZCTA5 10314,0
10451,ZCTA5 10451,0
10452,ZCTA5 10452,0
10453,ZCTA5 10453,0
10454,ZCTA5 10454,0
10455,ZCTA5 10455,0
10456,ZCTA5 10456,0
10457,ZCTA5 10457,0
10458,ZCTA5 10458,0
10459,ZCTA5 10459,0
10460,ZCTA5 10460,0
10461,ZCTA5 10461,0
10462,ZCTA5 10462,0
10463,ZCTA5 10463,0
10464,ZCTA5 10464,0
10465,ZCTA5 10465,0
10466,ZCTA5 10466,0
10467,ZCTA5 10467,0
10468,ZCTA5 10468,0
10469,ZCTA5 10469,0
10470,ZCTA5 10470,0
10471,ZCTA5 10471,0
10472,ZCTA5 10472,0
10473,ZCTA5 10473,0
10474,ZCTA5 10474,0
10475,ZCTA5 10475,0
11004,ZCTA5 11004,549
11101,ZCTA5 11101,657
11102,ZCTA5 11102,0
11103,ZCTA5 11103,0
11104,ZCTA5 11104,0
11105,ZCTA5 11105,0
11106,ZCTA5 11106,0
11109,ZCTA5 11109,352
11201,ZCTA5 11201,1458
11203,ZCTA5 11203,4515
11204,ZCTA5 11204,1144
11205,ZCTA5 11205,1158
11206,ZCTA5 11206,0
11207,ZCTA5 11207,0
11208,ZCTA5 11208,0
11209,ZCTA5 11209,0
11210,ZCTA5 11210,3251
11211,ZCTA5 11211,0
11212,ZCTA5 11212,2285
11213,ZCTA5 11213,1164
11214,ZCTA5 11214,1143
11215,ZCTA5 11215,1068
11216,ZCTA5 11216,2327
11217,ZCTA5 11217,1929
11218,ZCTA5 11218,1837
11219,ZCTA5 11219,2687
11220,ZCTA5 11220,0
11221,ZCTA5 11221,0
11222,ZCTA5 11222,1547
11223,ZCTA5 11223,1725
11224,ZCTA5 11224,0
11225,ZCTA5 11225,2282
11226,ZCTA5 11226,3311
11228,ZCTA5 11228,0
11229,ZCTA5 11229,895
11230,ZCTA5 11230,1526
11231,ZCTA5 11231,923
11232,ZCTA5 11232,0
11233,ZCTA5 11233,0
11234,ZCTA5 11234,2519
11235,ZCTA5 11235,4215
11236,ZCTA5 11236,3787
11237,ZCTA5 11237,0
11238,ZCTA5 11238,1869
11239,ZCTA5 11239,158
11354,ZCTA5 11354,394
11355,ZCTA5 11355,80
11356,ZCTA5 11356,0
11357,ZCTA5 11357,651
11358,ZCTA5 11358,462
11360,ZCTA5 11360,0
11361,ZCTA5 11361,0
11362,ZCTA5 11362,0
11363,ZCTA5 11363,109
11364,ZCTA5 11364,0
11365,ZCTA5 11365,0
11366,ZCTA5 11366,307
11367,ZCTA5 11367,430
11368,ZCTA5 11368,0
11369,ZCTA5 11369,0
11370,ZCTA5 11370,0
11372,ZCTA5 11372,0
11373,ZCTA5 11373,0
11374,ZCTA5 11374,771
11375,ZCTA5 11375,1101
11377,ZCTA5 11377,0
11378,ZCTA5 11378,0
11379,ZCTA5 11379,0
11385,ZCTA5 11385,0
11411,ZCTA5 11411,381
11412,ZCTA5 11412,2598
11413,ZCTA5 11413,1143
11414,ZCTA5 11414,0
11415,ZCTA5 11415,0
11416,ZCTA5 11416,448
11417,ZCTA5 11417,117
11418,ZCTA5 11418,1390
11419,ZCTA5 11419,12937
11420,ZCTA5 11420,8241
11421,ZCTA5 11421,0
11422,ZCTA5 11422,740
11423,ZCTA5 11423,2547
11426,ZCTA5 11426,719
11427,ZCTA5 11427,1557
11428,ZCTA5 11428,2251
11429,ZCTA5 11429,2010
11432,ZCTA5 11432,2952
11433,ZCTA5 11433,4504
11434,ZCTA5 11434,1636
11435,ZCTA5 11435,4696
11436,ZCTA5 11436,3988
11691,ZCTA5 11691,0
11692,ZCTA5 11692,0
11693,ZCTA5 11693,0
11694,ZCTA5 11694,0
11697,ZCTA5 11697,6
